ID	Player	Team	GP	MPG	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	TOV	PF	ORB	DRB	RPG	APG	SPG	BPG	PPG	FF	Position	IR
11	Vassilis Spanoulis	OLY	33	26.8	4	10	0.396	1.6	5.1	0.315	3.1	4	0.759	4	2.3	0.2	1.5	1.7	6.1	0.6	0	12.6	F4	G	11.91
12	Marko Simonovic	ZVE	30	26.7	4.3	9.3	0.466	1.9	4.9	0.39	2	2.5	0.824	0.8	1.6	0.7	2.8	3.6	0.7	0.8	0.1	12.6	NF4	F	11.7
13	Rakim Sanders	MIL	24	22.8	4.8	10.1	0.477	1.6	4	0.406	1.2	1.9	0.667	1.2	2.5	0.9	2.6	3.5	1.2	1.1	0.2	12.5	NF4	F	10.42
14	Derrick Brown	EFE	35	29.3	4.8	9.7	0.491	0.5	1.7	0.293	2.3	2.9	0.767	1.6	1.9	1.7	3.9	5.5	2.2	1	0.5	12.3	NF4	F	15.26
15	Darius Miller	BRO	30	27.1	4.3	9.3	0.46	2.1	5	0.411	1.6	1.8	0.889	1.5	2.9	0.2	2.5	2.7	2	0.6	0.4	12.2	NF4	F	10.03
16	Ekpe Udoh	FEN	31	32	4.8	8.3	0.584	0	0	0	2.5	3.8	0.644	1.2	2.1	2.5	5.3	7.8	2.2	1	2.2	12.1	F4	C	20.68
17	Chris Singleton	PAN	33	28.2	3.8	7.8	0.496	1.5	3.3	0.436	2.9	3.8	0.748	1.4	3.2	1.9	4	5.9	1.2	1.2	1	12	NF4	C	15.61
18	Rodrigue Beaubois	CAJ	30	20.3	4.3	9.4	0.457	1.8	4.7	0.38	1.3	1.5	0.87	1.6	2.2	0.2	1.3	1.4	1.7	0.4	0.5	11.7	NF4	G	8.37
19	Janis Strelnieks	BRO	22	25.1	4.2	8.1	0.522	1.8	3.9	0.459	1.5	1.7	0.892	1.2	2	0.2	2	2.2	3.5	0.6	0	11.7	NF4	G	12.77
20	Scottie Wilbekin	DBI	31	25.2	3.7	8.7	0.43	2.2	5.5	0.404	1.9	2.2	0.87	1.8	2.3	0.6	1.1	1.8	3.2	1.4	0	11.6	NF4	G	11.13
21	Nicolo Melli	BRO	30	29.2	4.3	8.5	0.502	1.2	2.8	0.434	1.8	2.4	0.74	1.7	2.6	1.3	6.1	7.4	2.3	0.7	0.7	11.5	NF4	F	16.9
22	Ali Muhammed	FEN	34	25.4	3.8	9.2	0.414	2.3	5.9	0.388	1.4	1.6	0.906	2	2.5	0.6	2.2	2.7	3.1	1	0	11.4	F4	G	10.68
23	Quim Colom	UNI	25	26.8	3.6	9.2	0.397	1.3	4	0.333	2.7	3.3	0.807	2.5	1	0.9	3	3.9	5.7	0.6	0	11.3	NF4	G	15.12
24	Artsiom Parakhouski	UNI	29	21.3	4.6	7.4	0.62	0	0	0	2	2.6	0.787	0.8	2.3	2.6	2.6	5.1	0.4	0.3	1.3	11.3	NF4	C	14.14
25	Vladimir Micov	GAL	29	29.1	4	9.5	0.42	1.9	4.3	0.432	1.4	1.8	0.769	1.7	2.1	0.6	3	3.6	2.4	0.8	0.1	11.2	NF4	F	11.41
26	K.C. Rivers	PAN	33	27.7	4	9	0.449	2.2	5.1	0.42	1	1.2	0.78	0.8	2.5	0.4	2	2.5	0.8	0.8	0.1	11.2	NF4	F	7.67
27	Brock Motum	ZAL	30	23.1	4.1	7.7	0.539	1.2	2.6	0.462	1.3	1.8	0.709	1	1.8	1.3	2.1	3.4	0.5	0.6	0.1	10.8	NF4	F	9.5
28	Bryant Dunston	EFE	35	29	4	7.3	0.551	0	0	0	2.7	3.9	0.679	0.9	2.7	2.9	3.3	6.2	1.1	0.6	1.1	10.7	NF4	C	14.6
29	Adam Hanga	CAJ	33	28	3.8	8.6	0.449	1.2	3.6	0.336	1.6	2.5	0.667	1.4	2.3	0.9	3.5	4.4	2.4	1.3	0.7	10.5	NF4	F	13
30	Sinan Guler	GAL	30	29	4.1	10	0.407	1.5	4.3	0.341	0.9	1.3	0.692	2.3	2.4	0.4	2.5	2.8	5.6	1.3	0.5	10.5	NF4	G	10.87
31	Anthony Randolph	RMB	34	21.2	3.7	7.5	0.5	0.9	2.3	0.367	1.9	2.4	0.778	1.2	1.8	1.3	3.8	5.1	1.1	0.4	1.1	10.2	F4	F	12.59
32	Petteri Koponen	FCB	27	22.6	3.3	7.6	0.429	2	4.4	0.462	1.6	1.7	0.915	1.3	1.9	0.2	1.5	1.7	1.9	0.7	0	10.1	NF4	G	8.93
33	Ricky Hickman	MIL	30	25	3.1	7.9	0.387	1.3	3.6	0.349	2.7	3.4	0.802	2.3	2.1	0.4	2.1	2.6	3.3	0.8	0.1	10.1	NF4	G	10.43
34	Victor Rudd	MAC	30	25.8	3.7	8	0.46	1.1	2.9	0.364	1.7	2.1	0.781	1.8	2.1	0.8	3.5	4.3	1.7	0.7	0.3	10.1	NF4	F	10.3
35	Johannes Voigtmann	CAJ	33	23.4	3.8	7.1	0.541	0.7	2.2	0.315	1.7	2.4	0.731	1	1.8	2.3	4.7	7	1.7	0.6	0.3	10.1	NF4	C	14.97
36	Alex Tyus	GAL	30	19.7	4.3	6.3	0.683	0	0	0	1.4	2.5	0.553	1.1	1.3	1.7	3.5	5.2	0.4	0.6	1.5	10	NF4	C	14.33
37	Erick Green	OLY	36	20.5	3.6	8.2	0.442	1.3	3.3	0.4	1.4	1.7	0.817	0.8	1.4	0.3	1.6	1.9	0.9	0.7	0.1	9.9	F4	G	8.03
38	Fabien Causeur	BRO	29	25.3	3.7	7.4	0.502	1.1	3.3	0.347	1.3	1.7	0.776	1.4	2.1	0.5	2.7	3.2	2.2	0.8	0.1	9.9	NF4	G	11
39	Gustavo Ayon	RMB	36	20.7	4.4	6.4	0.699	0	0	0	0.9	1.8	0.485	1.6	2.6	1.8	3.4	5.2	2.3	0.9	0.6	9.8	F4	C	13.67
40	Nick Calathes	PAN	33	27.2	4	9.9	0.405	0.8	3.5	0.246	0.9	1.8	0.5	2.1	2.2	0.9	3.1	4	5.5	1.5	0.2	9.8	NF4	G	11.7
41	Jayson Granger	EFE	35	25.5	3.5	8.6	0.412	1.1	3.2	0.327	1.6	2.1	0.753	1.6	2.2	0.5	2.2	2.7	3.9	0.9	0.1	9.7	NF4	G	10.29
42	Jan Vesely	FEN	34	24.5	3.8	6.8	0.563	0	0.1	0	2	3.6	0.557	1.4	2.8	1.6	2.9	4.5	1.4	1	0.6	9.6	F4	F	11.71
43	Daniel Theis	BRO	30	19.7	3.9	6.5	0.598	0.5	1.3	0.41	1.3	1.8	0.709	1.1	3	1.7	2.9	4.6	0.7	0.7	0.9	9.6	NF4	C	10.67
44	Cory Higgins	CSKA	32	20.4	3.1	6.7	0.467	0.8	1.9	0.403	2.5	2.8	0.879	1.5	2.1	0.4	1.8	2.2	1.5	0.8	0.1	9.5	F4	G	9.31
45	Ognen Kuzmic	ZVE	30	20.7	3.7	6.8	0.549	0	0	0	1.9	2.7	0.707	1.5	1.9	2.7	4.3	7	1	1	0.6	9.4	NF4	C	13.9
46	Charles Jenkins	ZVE	30	26.1	3.5	8	0.444	1	2.4	0.425	1.3	1.5	0.848	1.1	2.3	0.4	1.6	1.9	2.6	2.1	0.1	9.4	NF4	G	9.47
47	Blake Schilb	GAL	27	25.6	3.9	7.7	0.498	0.8	2.6	0.31	0.7	0.9	0.87	1.6	1.3	1	2.8	3.9	4	0.7	0.1	9.3	NF4	F	11.96
48	Kostas Sloukas	FEN	29	26.1	3.1	6.9	0.445	1	2.4	0.429	2.1	2.4	0.87	2.5	2.3	0.3	1.8	2.1	4.5	0.6	0.2	9.2	F4	G	9.83
49	Gigi Datome	FEN	33	23.6	3.1	7	0.442	1.5	3.1	0.466	1.5	1.6	0.944	1.1	2.6	0.9	2.8	3.7	1.1	0.5	0.1	9.2	F4	F	8.76
50	James Anderson	DBI	34	22.5	3.4	8.4	0.407	1.4	4	0.346	1	1.4	0.673	1	1.7	0.8	2.8	3.6	1.3	0.6	0.4	9.2	NF4	F	7.91
51	Tyler Honeycutt	EFE	35	24.5	3.1	7.8	0.401	0.9	3.1	0.303	1.9	2.9	0.68	1.8	1.8	2	5.3	7.3	2	1.1	0.9	9.2	NF4	F	13.77
52	Jaycee Carroll	RMB	36	17	3.2	6.6	0.481	1.7	3.9	0.432	1.1	1.2	0.911	0.7	2.1	0.2	1.2	1.5	0.8	0.2	0.1	9.1	F4	G	6.28
53	Ante Tomic	FCB	29	21.8	3.6	6.9	0.525	0	0	0	1.6	3.2	0.495	1.9	2.1	2.2	3.7	5.9	2	0.6	0.7	8.8	NF4	C	13
54	Jamel McLean	MIL	30	20.7	3.1	5.5	0.56	0.1	0.4	0.167	2.4	3.4	0.716	1.6	3	1.6	2.6	4.2	1.4	0.7	0.2	8.7	NF4	F	10
55	Austin Daye	GAL	25	18.5	3	6.7	0.443	1.3	2.9	0.452	1.4	1.6	0.878	1.1	2.4	0.4	2.6	3	1	0.5	0.3	8.7	NF4	C	8.36
56	Kevin Pangos	ZAL	30	20.8	2.9	7.7	0.381	2	4.3	0.457	0.8	1	0.862	1.5	2.3	0.5	1.3	1.8	3.2	0.9	0	8.7	NF4	G	7.2
57	Lukas Lekavicius	ZAL	30	18.1	3.2	7.1	0.448	0.8	2.5	0.338	1.4	1.8	0.759	1.7	2.2	0.4	1.6	1.9	3.5	0.6	0	8.5	NF4	G	8.83
58	Kyle Hines	CSKA	35	20.5	3	4.7	0.65	0	0	0	2.4	3.5	0.702	1.4	2.9	2.1	2.2	4.3	0.6	0.7	0.5	8.5	F4	C	10.06
59	Milan Macvan	MIL	28	22.4	3.2	6.7	0.487	0.8	2	0.375	1.1	1.4	0.795	1.1	1.7	1.6	2.9	4.4	1.4	0.4	0	8.4	NF4	C	10.04
60	Leo Westermann	ZAL	30	25.2	2.9	6.9	0.425	1.1	3.1	0.344	1.3	1.5	0.886	2.4	2.8	0.5	2.7	3.2	5.5	0.5	0	8.2	NF4	G	10
61	Kostas Papanikolaou	OLY	37	23.3	2.8	6.6	0.422	1	3.2	0.316	1.5	1.9	0.826	1.2	2.4	1.5	3.3	4.8	1.5	1.2	0.4	8.1	F4	F	9.68
62	Adrien Moerman	DBI	33	21.7	3.1	7.9	0.396	1.2	3.6	0.333	0.6	0.8	0.769	0.7	2.3	1.1	4	5.1	0.8	0.9	0.2	8.1	NF4	F	8.21
63	Colton Iverson	MAC	30	20.6	3.3	5.3	0.613	0	0	0	1.5	2.6	0.571	1.3	2.9	2.1	3.2	5.3	0.6	0.8	0.2	8	NF4	C	10.33
64	Yannis Bourousis	PAN	33	18.2	2.3	5.8	0.399	0.5	1.7	0.291	2.7	3.4	0.788	1.8	2.4	1.7	3.1	4.8	1	0.5	0.5	7.8	NF4	C	10.09
65	Luka Doncic	RMB	35	19.9	2.4	5.6	0.434	1.1	3	0.371	1.9	2.2	0.844	1.8	1.3	0.9	3.5	4.5	4.2	0.9	0.2	7.8	F4	G	13.26
66	Marko Guduric	ZVE	29	18.8	2.3	6	0.391	1	3.2	0.304	2.1	2.4	0.859	1.9	2.6	0.6	1.6	2.1	2.1	0.6	0.1	7.8	NF4	G	6.45
67	Edgaras Ulanovas	ZAL	30	24.4	2.5	5.3	0.478	0.5	1.4	0.381	2.1	2.4	0.877	1.3	2.1	1.3	2	3.3	1.5	0.3	0.3	7.7	NF4	F	9.3
68	Nikos Zisis	BRO	30	24.1	2.3	6.1	0.377	0.7	2.4	0.288	2.4	2.7	0.912	1.7	2.1	0.2	1.8	2	4.5	0.5	0	7.7	NF4	G	9.77
69	Tibor Pleiss	GAL	28	17.1	3.1	5.5	0.561	0.1	0.2	0.4	1.4	1.8	0.765	0.8	1.8	1.7	3	4.6	0.5	0.2	1.2	7.7	NF4	C	10.43
70	Aaron Jackson	CSKA	34	21.7	2.8	5.4	0.519	0.9	1.9	0.477	1.1	1.4	0.735	1.6	1.6	0.3	1.1	1.4	3.6	0.7	0.1	7.6	F4	G	8.79
71	Othello Hunter	RMB	35	16.7	3.2	4.9	0.647	0	0.1	0	1.2	1.7	0.683	0.9	2	1.7	2.9	4.5	0.6	0.5	0.3	7.6	F4	C	9.94
72	Nikola Kalinic	FEN	33	24	2.8	5.9	0.482	0.8	2.2	0.347	1.1	1.3	0.837	1.4	2.2	0.6	2.5	3.1	1.5	0.8	0.3	7.5	F4	F	8.3
73	Aleksandar Vezenkov	FCB	30	18.4	2.7	4.7	0.577	1.1	2.4	0.479	0.9	1.1	0.848	0.6	1.5	0.8	2.4	3.2	1.1	0.7	0.2	7.5	NF4	F	9.73
74	Milko Bjelica	ZVE	30	15.6	2.5	6.5	0.385	0.4	1.9	0.193	2.1	2.6	0.795	0.9	1.7	0.7	2.2	3	1.1	0.5	0.3	7.4	NF4	F	7.5
75	Andrey Vorontsevich	CSKA	35	19.9	2.7	5.6	0.49	1.5	3.1	0.477	0.4	0.7	0.52	0.5	2.1	0.6	2.3	2.9	0.9	0.5	0.5	7.3	F4	F	7.26
76	Arturas Milaknis	ZAL	30	21.1	2.5	6.1	0.404	1.9	4.8	0.386	0.5	0.7	0.762	0.6	2.2	0.4	1.1	1.5	1	0.3	0	7.3	NF4	G	4.63
77	Deshaun Thomas	EFE	35	14.3	2.6	6.5	0.407	1.2	3.7	0.328	0.8	1	0.806	0.4	1.1	0.6	1.1	1.7	0.3	0.2	0.1	7.3	NF4	F	4.77
78	Khem Birch	OLY	37	18.1	2.8	4.5	0.624	0	0	0	1.7	2.6	0.643	1	2	2.2	3.4	5.6	0.3	0.5	1	7.3	F4	C	10.78
79	D.J. Seeley	MAC	26	20.3	2.3	5.3	0.431	0.9	2.4	0.387	1.8	2	0.887	1.7	2.3	0.6	1.4	2	2.6	0.5	0.2	7.3	NF4	G	6.96
80	Mantas Kalnietis	MIL	26	19.4	2.7	6.2	0.435	1.1	2.9	0.368	0.8	1.2	0.667	1.7	1.3	0.3	2	2.3	2.9	0.8	0.1	7.2	NF4	G	7.58
81	Cedi Osman	EFE	35	18.6	2.5	6.1	0.409	1	3	0.34	1.1	1.3	0.787	0.5	1.8	0.8	1.9	2.8	0.7	0.6	0.1	7.1	NF4	F	6.29
82	Nate Wolters	ZVE	27	15.1	2.7	6.3	0.435	0.7	1.9	0.38	0.9	1.2	0.781	1.2	1.6	0.3	1.9	2.1	2.2	0.7	0	7.1	NF4	G	6.81
83	Sylven Landesberg	MAC	23	15.4	2.4	5.5	0.444	1.1	2.5	0.439	1.1	1.7	0.658	0.6	1.5	0.3	0.8	1.1	0.5	0.1	0	7	NF4	G	4.35
84	Latavious Williams	UNI	30	17.3	2.9	4.9	0.595	0	0	0	1.1	1.5	0.727	0.8	2.7	2.1	2.9	5.1	0.5	0.3	0.5	6.9	NF4	F	8.27
85	Kim Tillie	CAJ	32	19.2	2.6	4.8	0.549	0.7	1.7	0.407	1	1.1	0.912	0.7	2.1	1.4	2.4	3.8	1.1	0.7	0.2	6.9	NF4	F	8.22
86	James Feldeine	PAN	33	19.9	2.5	6.1	0.406	1.3	3.4	0.378	0.4	0.7	0.609	0.8	1.4	0.2	0.9	1.1	2	0.9	0.2	6.7	NF4	G	5.48
87	Jon Diebler	GAL	29	19	2.1	4.2	0.504	1.7	3.1	0.538	0.6	0.7	0.857	0.7	1.7	0.3	1.6	1.9	1.4	0.5	0	6.5	NF4	G	7.28
88	Rudy Fernandez	RMB	32	23.4	2.2	6.6	0.343	1.3	4.2	0.323	0.7	0.9	0.75	1.2	1.8	0.8	2.1	2.8	3.2	1.2	0.1	6.5	F4	F	8.38
89	Dairis Bertans	DBI	32	16.1	2	4.2	0.463	1	2.1	0.5	1.4	1.7	0.836	0.8	1.5	0.2	0.4	0.7	1.3	0.2	0.1	6.4	NF4	G	5.41
90	Stratos Perperoglou	FCB	22	20.9	2.4	6.3	0.381	0.9	2.4	0.358	0.7	1	0.682	1	1.5	0.4	2.8	3.1	1.5	0.7	0.2	6.4	NF4	F	6.55
91	Davide Pascolo	MIL	22	15.2	2.7	4.8	0.566	0.1	0.8	0.167	0.7	0.9	0.842	0.5	2.3	1.4	1.4	2.8	0.7	0.6	0.4	6.3	NF4	F	6.64
92	Jonas Maciulis	RMB	29	16.7	2.2	4.1	0.525	1.2	2.3	0.5	0.6	0.9	0.72	0.3	1.5	0.8	1.5	2.3	0.8	0.7	0.1	6.1	F4	F	6.97
93	Leon Radosevic	BRO	28	16.1	2.6	4.6	0.558	0	0	0	0.9	1.5	0.634	1	1.8	0.9	1.7	2.6	0.6	0.4	0.3	6.1	NF4	F	5.89
94	Nikita Kurbanov	CSKA	35	19.2	1.7	3.9	0.435	0.5	1.4	0.333	2.2	2.4	0.894	0.9	2.4	0.9	2.8	3.8	1.1	0.6	0.5	6.1	F4	F	7.6
95	Victor Claver	FCB	27	22	2.1	4.5	0.459	0.9	2.3	0.377	1	1.3	0.778	1.2	1.7	0.9	3.5	4.4	1.3	0.9	0.3	6	NF4	F	8.41
96	James Augustine	CSKA	34	16.4	2.6	3.9	0.664	0	0.1	0.333	0.8	1.3	0.578	0.6	2	1.7	2.8	4.5	0.4	0.8	0.5	6	F4	F	8.53
97	Vitaliy Fridzon	CSKA	35	13	2	3.9	0.511	0.7	1.7	0.417	1.2	1.4	0.86	0.8	2	0.4	0.8	1.2	0.8	0.6	0.3	5.9	F4	G	5.03
98	Evangelos Mantzaris	OLY	37	23.7	1.9	5.6	0.348	1.5	4.1	0.364	0.4	0.6	0.696	1.2	2.7	0.4	2.4	2.8	2.4	0.7	0	5.8	F4	G	4.89
99	Pavel Antipov	UNI	28	18.7	2	4	0.5	1.4	2.7	0.507	0.3	0.5	0.643	0.3	2	0.6	1.3	2	0.7	0.6	0.2	5.7	NF4	F	5.04
100	James Nunnally	FEN	34	17.9	2.1	4.7	0.44	0.9	2.1	0.451	0.6	0.7	0.87	1	1.9	0.4	1.5	2	1.7	0.4	0.2	5.6	F4	F	5.09
101	Andrea Cinciarini	MIL	23	18.5	2	4.4	0.455	0.3	1.2	0.25	1.2	1.7	0.7	1.1	2.1	0.5	1.9	2.4	2.2	0.7	0.1	5.5	NF4	G	5.96
102	Nikos Pappas	PAN	29	17.2	1.8	4.2	0.426	0.4	1.7	0.26	1.4	1.9	0.764	1	1.8	0.3	1.2	1.6	1.3	0.6	0.1	5.5	NF4	G	5
103	Brad Oleson	FCB	24	21.6	2.1	4.2	0.49	0.8	2.4	0.345	0.3	0.4	0.8	0.8	1.7	0.5	1.4	1.8	2	0.6	0.2	5.3	NF4	G	5.96
104	Yogev Ohayon	MAC	27	17.9	1.9	4.7	0.405	0.8	1.9	0.44	0.7	1.1	0.655	1.3	1.9	0.1	1.5	1.7	2.7	0.9	0	5.3	NF4	G	5.67
105	Nemanja Dangubic	ZVE	24	19.3	2	5.1	0.382	0.7	2.2	0.296	0.7	0.8	0.842	1.1	2.5	0.4	1.6	2	0.7	0.6	0.1	5.2	NF4	F	2.5
106	Jeffery Taylor	RMB	30	15.5	1.7	3.3	0.5	0.7	1.7	0.392	0.6	0.9	0.667	0.4	2.2	0.8	1	1.8	0.5	0.4	0.1	4.6	F4	F	3.57
107	Awudu Abass	MIL	23	16	1.5	3.5	0.42	0.7	1.7	0.421	0.9	1.1	0.84	0.7	2	0.7	1.2	1.9	0.5	0.4	0.3	4.6	NF4	G	3.7
108	Gal Mekel	MAC	24	16	1.6	4.1	0.398	0.4	1	0.4	0.8	1.4	0.606	1.4	1.3	0.2	2	2.2	3.3	0.2	0	4.5	NF4	G	5.63
109	Ioannis Papapetrou	OLY	36	15.9	1.7	4.3	0.396	0.7	2.2	0.333	0.3	0.4	0.688	0.6	1.6	0.4	2.1	2.6	0.5	0.5	0.3	4.4	F4	F	3.83
110	Branko Lazic	ZVE	30	23.6	1.6	3.5	0.467	0.7	1.9	0.368	0.4	0.7	0.571	0.5	3.1	0.7	1.5	2.2	0.3	1.4	0.1	4.4	NF4	G	4
111	Luka Mitrovic	ZVE	28	15.7	1.8	3.9	0.45	0.1	0.6	0.167	0.5	1	0.536	1.2	1.1	0.8	1.5	2.3	1.4	0.5	0.1	4.1	NF4	F	4.32
112	Luke Harangody	DBI	29	12.8	1.5	2.8	0.537	0.6	1.3	0.459	0.2	0.3	0.6	0.2	1.6	0.8	1.6	2.4	0.4	0.1	0.2	3.8	NF4	F	4.28
113	Goksenin Koksal	GAL	28	14.5	1.3	3.4	0.383	0.5	1.3	0.405	0.4	0.7	0.5	0.8	1.8	0.6	0.6	1.2	0.8	0.4	0	3.5	NF4	G	1.29
114	Patrick Heckmann	BRO	28	12.5	1	2.4	0.433	0.6	1.2	0.485	0.3	0.5	0.692	0.6	1.3	0.1	1.1	1.2	0.8	0.3	0	3	NF4	F	2.29
115	Evgeny Voronov	UNI	23	15.2	1.1	3.1	0.347	0.2	1.1	0.192	0.6	0.7	0.765	1	2.6	0.3	1	1.3	0.6	0.8	0.1	3	NF4	G	1.04
116	Vadim Panin	UNI	26	18.2	1	2.4	0.429	0.7	1.8	0.375	0.2	0.2	0.667	0.9	1.7	0.4	1.6	2	0.9	0.6	0.1	2.9	NF4	G	3.15
117	Birkan Batuk	DBI	32	12.5	0.9	2.5	0.37	0.5	1.8	0.298	0.3	0.5	0.625	0.2	2.3	0.7	0.9	1.7	0.4	0.4	0.1	2.7	NF4	F	1.25
118	Guy Pnini	MAC	29	12.7	0.9	2.6	0.365	0.4	1.6	0.277	0.3	0.5	0.533	0.4	0.9	0.3	1.3	1.6	1.2	0.3	0	2.6	NF4	F	3.14
119	Renaldas Seibutis	ZAL	30	12.5	0.8	2.4	0.342	0.2	0.8	0.208	0.6	0.8	0.76	0.6	1.5	0.2	1.1	1.3	0.9	0.3	0.1	2.5	NF4	G	1.53
